,age,age_o,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,14,44,39,79,69,39,39,39,0,9,29,39,39,29,29,29,119,159,159,159,139,119,179,139,139,119,99,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,113,59,139,1
1,14,19,39,79,119,0,0,79,0,0,29,39,39,29,29,29,119,159,159,159,139,139,159,139,159,99,119,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,153,59,139,1
2,14,24,39,79,59,9,29,79,9,9,29,39,39,29,29,29,119,159,159,159,139,139,119,159,139,119,159,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,160,59,139,1
3,14,29,39,79,59,19,39,19,19,39,29,39,39,29,29,29,119,159,159,159,139,99,119,139,139,119,119,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,121,59,119,1
4,14,34,39,79,99,0,59,19,0,19,29,39,39,29,29,29,119,159,159,159,139,79,179,139,79,119,79,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,124,59,119,0
5,14,59,39,79,69,29,49,19,9,19,29,39,39,29,29,29,119,159,159,159,139,139,119,139,79,119,139,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,133,59,119,1
6,14,49,39,79,99,0,49,19,0,29,29,39,39,29,29,29,119,159,159,159,139,139,119,159,179,159,159,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,127,59,139,1
7,14,29,39,79,199,0,0,0,0,0,29,39,39,29,29,29,119,159,159,159,139,99,119,119,159,199,159,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,63,59,119,1
8,29,44,39,99,69,39,39,39,0,9,89,9,49,39,0,9,139,99,199,159,59,99,139,159,79,119,59,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,128,79,119,0
9,29,19,39,99,119,0,0,79,0,0,89,9,49,39,0,9,139,99,199,159,59,159,99,119,119,179,119,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,118,79,139,0
10,29,19,39,99,37,35,37,35,27,23,89,9,49,39,0,9,139,99,199,159,59,99,159,179,119,59,79,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,109,79,119,0
11,29,24,39,99,59,9,29,79,9,9,89,9,49,39,0,9,139,99,199,159,59,139,179,139,119,99,139,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,78,79,139,1
