,age,age_o,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
6,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,2,3,4,3,3,4,0,3,4,0,0,2,0,2,2,4,0,4,4,4,3,0,3,1,3,1
8,0,1,0,2,1,0,0,0,0,0,2,0,1,0,0,0,3,2,4,3,1,2,3,3,1,2,1,1,0,3,4,3,2,1,2,3,4,0,4,3,3,3,1,0,3,1,2,0
9,0,0,0,2,2,0,0,1,0,0,2,0,1,0,0,0,3,2,4,3,1,3,2,2,2,4,2,1,0,3,4,3,2,1,2,3,4,0,4,3,3,3,1,0,2,1,3,0
17,0,0,0,2,4,0,0,0,0,0,2,0,1,0,0,0,3,2,4,3,1,2,3,3,3,4,3,1,0,3,4,3,2,1,2,3,4,0,4,3,3,3,1,0,3,1,3,1
19,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,3,4,3,3,3,3,3,4,3,3,0,0,2,3,2,3,3,2,3,3,3,4,3,3,3,0,3,2,0,3,0
22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,2,4,3,4,3,4,0,0,2,3,2,3,3,2,3,3,3,4,3,3,3,0,3,3,0,3,0
23,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,3,4,3,3,2,4,3,1,3,0,0,0,2,3,2,3,3,2,3,3,3,4,3,3,3,0,3,3,0,1,0
29,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,2,3,3,4,2,2,4,4,2,3,0,4,3,4,3,3,3,4,0,2,4,0,2,2,2,1,0,0,3,1,3,1
36,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,2,3,3,4,2,3,2,3,3,2,4,4,3,4,3,3,3,4,0,2,4,0,2,2,2,1,0,0,3,1,4,1
41,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2,2,2,3,3,3,3,3,3,3,2,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,1,3,3,1
42,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,2,2,3,3,1,3,3,1,3,2,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,1,3,2,0
43,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,2,2,2,3,3,1,3,3,1,2,1,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,3,3,2,0
49,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,3,2,4,3,3,4,4,4,4,4,4,1,1,0,3,2,3,0,0,4,3,3,4,4,4,4,3,1,2,2,4,1
60,1,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,3,4,3,3,2,3,3,2,2,3,1,3,3,0,2,3,2,2,2,1,4,0,1,3,3,3,2,0,1,3,2,0
65,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,3,4,3,3,2,3,3,2,2,2,2,3,3,0,2,3,2,2,2,1,4,0,1,3,3,3,2,0,2,3,3,0
66,1,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,3,4,3,3,2,2,3,3,3,3,2,3,3,0,2,3,2,2,2,1,4,0,1,3,3,3,2,0,2,3,2,0
81,0,0,4,0,0,1,0,1,0,0,2,0,1,0,0,0,2,2,3,3,2,2,2,3,3,3,3,3,0,2,3,3,3,2,2,2,3,1,3,3,3,3,2,0,2,3,2,1
85,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,2,3,1,1,2,3,2,3,3,3,0,4,3,3,2,1,0,2,1,0,3,4,3,3,0,0,3,1,0,0
86,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,3,3,2,3,1,2,1,1,1,2,1,3,0,4,3,3,2,1,0,2,1,0,3,4,3,3,0,0,3,1,1,0
90,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,3,3,2,3,1,2,2,3,1,2,1,3,0,4,3,3,2,1,0,2,1,0,3,4,3,3,0,0,3,1,1,0
94,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2,3,4,2,3,2,2,3,2,2,2,2,4,1,1,1,1,0,2,4,1,4,1,2,0,0,3,2,3,0
95,1,0,3,3,2,0,1,0,0,0,1,0,0,0,0,1,2,3,2,3,4,3,3,3,3,3,2,2,2,2,4,1,1,1,1,0,2,4,1,4,1,2,0,0,2,2,3,1
103,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,1,4,4,3,1,3,3,2,2,2,4,1,2,2,0
113,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,2,4,3,4,4,2,3,3,4,2,3,4,3,4,2,2,2,0,0,1,3,4,1,3,1,3,2,0,1,2,4,0
121,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,2,4,3,4,4,3,1,2,1,1,0,4,3,4,2,2,2,0,0,1,3,4,1,3,1,3,2,0,3,2,0,0
131,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,2,3,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,1,1,3,1
132,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,1,2,1,1,0,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,1,1,0,0
136,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,3,3,3,3,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,2,1,3,1
138,0,0,4,2,1,1,1,0,0,0,0,0,1,0,0,0,2,3,2,3,3,2,3,3,2,2,3,0,0,1,4,3,2,2,3,3,4,4,4,4,4,4,4,1,1,2,3,1
140,0,1,4,2,1,0,1,0,0,0,0,0,1,0,0,0,2,3,2,3,3,2,3,3,2,3,2,0,0,1,4,3,2,2,3,3,4,4,4,4,4,4,4,1,2,2,3,1
142,0,1,4,2,0,0,1,1,0,0,0,0,1,0,0,0,2,3,2,3,3,2,2,3,2,2,2,0,0,1,4,3,2,2,3,3,4,4,4,4,4,4,4,1,3,2,2,0
144,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,3,3,3,3,2,3,2,3,0,0,1,4,3,2,2,3,3,4,4,4,4,4,4,4,1,1,2,3,1
160,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,2,2,3,3,2,4,2,3,1,3,3,2,1,2,2,3,4,4,3,4,2,3,3,1,2,2,2,0
161,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,3,4,3,3,2,3,3,3,3,3,2,3,1,3,3,2,1,2,2,3,4,4,3,4,2,3,3,1,3,2,3,0
165,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,3,2,0,1,1,4,1,4,3,3,1,2,2,3,2,1,4,4,2,1,2,0,2,3,0,0
167,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,3,3,3,3,1,3,2,1,2,0,4,1,4,3,3,1,2,2,3,2,1,4,4,2,1,2,0,2,3,0,0
168,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,3,3,3,2,4,1,4,3,3,1,2,2,3,2,1,4,4,2,1,2,0,2,3,2,0
169,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,2,2,2,2,4,1,4,3,3,1,2,2,3,2,1,4,4,2,1,2,0,2,3,2,0
173,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2,2,2,1,4,1,4,3,3,1,2,2,3,2,1,4,4,2,1,2,0,2,3,2,0
174,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,2,2,3,3,3,0,2,3,2,1,1,3,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,2,2,0,0
178,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,2,2,3,3,3,0,1,2,1,1,1,3,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,1,2,1,0
179,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,2,2,3,3,3,0,0,2,0,2,0,3,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,2,2,0,0
180,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,2,3,3,3,0,1,3,0,1,0,3,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,1,2,0,0
183,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,2,2,3,3,3,2,2,2,1,1,1,3,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,2,2,1,0
184,0,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,2,4,3,3,3,3,2,3,1,3,0,3,4,3,3,3,2,0,0,3,3,3,2,3,2,3,4,2,1,3,2,1
