,age,age_o,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
529,19,17,9,9,29,0,29,29,9,0,29,9,19,19,9,9,89,89,89,89,89,59,79,79,69,69,79,79,49,69,79,59,59,69,69,69,69,29,19,89,69,89,89,19,60,49,69,1
4218,32,22,89,49,29,19,14,14,7,11,11,24,24,7,14,14,69,99,59,79,79,89,59,59,59,49,29,89,19,99,89,79,79,79,69,69,89,89,89,89,89,89,49,69,38,59,49,0
3474,22,24,9,9,24,19,19,24,0,9,49,9,9,9,9,9,89,89,89,89,89,99,99,99,99,99,99,89,59,59,59,39,39,79,59,59,79,9,49,29,29,69,19,69,59,49,99,1
185,9,24,39,49,24,14,24,14,0,19,19,21,17,14,14,9,59,89,79,69,79,59,79,69,39,69,19,79,89,69,69,69,59,19,19,69,69,69,49,69,59,79,89,49,53,69,59,1
3889,22,22,19,29,9,19,19,14,19,14,18,12,17,17,9,21,69,79,79,79,59,49,69,89,79,79,79,89,79,59,79,59,29,59,9,89,59,29,19,69,79,99,49,9,67,59,79,0
745,22,14,29,19,9,19,34,19,0,14,24,14,19,19,19,0,79,89,79,89,99,89,89,79,99,79,69,19,19,19,99,79,79,69,79,89,79,9,89,79,79,89,39,19,69,49,79,0
4558,27,14,29,9,49,19,9,4,9,4,74,4,4,9,0,4,89,79,89,89,89,79,89,89,79,79,79,69,49,79,79,69,59,29,49,89,79,19,29,39,49,89,79,19,72,89,79,0
2257,32,12,19,19,25,17,15,20,10,10,14,16,20,18,16,12,79,79,79,79,79,69,69,69,69,69,69,49,49,49,89,69,69,69,69,89,89,49,69,69,69,89,49,69,51,59,69,1
621,19,17,79,79,14,9,29,9,4,29,9,19,14,19,19,14,69,89,79,69,69,49,49,49,49,49,49,19,29,19,99,99,99,19,9,69,39,39,89,89,79,79,29,29,89,49,49,0
2507,22,22,59,9,15,19,19,19,13,13,15,17,17,17,17,13,69,89,69,89,89,69,79,79,79,49,49,49,59,29,69,59,29,39,29,69,79,69,79,79,39,39,39,9,39,59,69,1
