,Unnamed: 0,Transaction_date,Product,Payment_Type,Name,Country,Account_Created,Last_Login,Latitude,Longitude
0,0,1/2/09 6:17,Product1,Mastercard,carolina,United Kingdom,1/2/09 6:00,1/2/09 6:08,51.5,-1.1166667
1,1,1/2/09 4:53,Product1,Visa,Betina,United States,1/2/09 4:42,1/2/09 7:49,39.195,-94.68194
2,2,1/2/09 13:08,Product1,Mastercard,Federica e Andrea,United States,1/1/09 16:21,1/3/09 12:32,46.18806,-123.83
3,3,1/3/09 14:44,Product1,Visa,Gouya,Australia,9/25/05 21:13,1/3/09 14:22,-36.1333333,144.75
4,4,1/4/09 12:56,Product2,Visa,Gerd W ,United States,11/15/08 15:47,1/4/09 12:45,33.52056,-86.8025
5,5,1/4/09 13:19,Product1,Visa,LAURENCE,United States,9/24/08 15:19,1/4/09 13:04,39.79,-75.23806
6,6,1/4/09 20:11,Product1,Mastercard,Fleur,United States,1/3/09 9:38,1/4/09 19:45,40.69361,-89.58889
7,7,1/2/09 20:09,Product1,Mastercard,adam,United States,1/2/09 17:43,1/4/09 20:01,36.34333,-88.85028
8,8,1/4/09 13:17,Product1,Mastercard,Renee Elisabeth,Israel,1/4/09 13:03,1/4/09 22:10,32.0666667,34.7666667
9,9,1/4/09 14:11,Product1,Visa,Aidan,France,6/3/08 4:22,1/5/09 1:17,48.8833333,2.15
10,10,1/5/09 2:42,Product1,Diners,Stacy,United States,1/5/09 2:23,1/5/09 4:59,40.71417,-74.00639
11,11,1/5/09 5:39,Product1,Amex,Heidi,Netherlands,1/5/09 4:55,1/5/09 8:15,51.45,5.4666667
12,12,1/2/09 9:16,Product1,Mastercard,Sean ,United States,1/2/09 8:32,1/5/09 9:05,29.423890000000004,-98.49333
13,13,1/5/09 10:08,Product1,Visa,Georgia,United States,11/11/08 15:53,1/5/09 10:05,43.69556,-116.35306
14,14,1/2/09 14:18,Product1,Visa,Richard,United States,12/9/08 12:07,1/5/09 11:01,40.03222,-74.95778
15,15,1/4/09 1:05,Product1,Diners,Leanne,Ireland,1/4/09 0:00,1/5/09 13:36,53.67722220000001,-6.3191667
16,16,1/5/09 11:37,Product1,Visa,Janet,Canada,1/5/09 9:35,1/5/09 19:24,45.4166667,-75.7
17,17,1/6/09 5:02,Product1,Diners,barbara,India,1/6/09 2:41,1/6/09 7:52,17.3833333,78.4666667
18,18,1/6/09 7:45,Product2,Visa,Sabine,United Kingdom,1/6/09 7:00,1/6/09 9:17,51.52721,0.14559
19,19,1/2/09 7:35,Product1,Diners,Hani,United States,12/30/08 5:44,1/6/09 10:52,40.76083,-111.89028
20,20,1/6/09 12:56,Product1,Visa,Jeremy,United Kingdom,1/6/09 10:58,1/6/09 13:31,53.5,-2.2166667
21,21,1/1/09 11:05,Product1,Diners,Janis,Ireland,12/10/07 12:37,1/7/09 1:52,51.8630556,-8.58
22,22,1/5/09 4:10,Product1,Mastercard,Nicola,South Africa,1/5/09 2:33,1/7/09 5:13,-26.1666667,27.866666700000003
23,23,1/6/09 7:18,Product1,Visa,asuman,United States,1/6/09 7:07,1/7/09 7:08,32.64,-117.08333
24,24,1/2/09 1:11,Product1,Mastercard,Lena,Finland,12/31/08 2:48,1/7/09 10:20,62.9,27.6833333
25,25,1/1/09 2:24,Product1,Visa,Lisa,United States,1/1/09 1:56,1/7/09 10:52,29.61944,-95.63472
26,26,1/7/09 8:08,Product1,Diners,Bryan Kerrene,United States,1/7/09 7:39,1/7/09 12:38,40.71417,-74.00639
27,27,1/2/09 2:57,Product1,Visa,chris,United Kingdom,1/3/08 7:23,1/7/09 13:14,51.52721,0.14559
28,28,1/1/09 20:21,Product1,Visa,Maxine,United States,10/24/08 6:48,1/7/09 20:49,40.61278,-89.45917
29,29,1/8/09 0:42,Product1,Visa,Family,United States,1/8/09 0:28,1/8/09 3:39,37.22667,-121.97361
30,30,1/8/09 3:56,Product1,Mastercard,Katherine,United States,1/8/09 3:33,1/8/09 6:19,40.71417,-74.00639
31,31,1/8/09 3:16,Product1,Mastercard,Linda,United States,1/8/09 3:06,1/8/09 6:34,25.77389,-80.19389
32,32,1/8/09 1:59,Product1,Mastercard,SYLVIA,Switzerland,11/28/07 11:56,1/8/09 7:20,46.2333333,6.2
33,33,1/3/09 9:03,Product1,Diners,Sheila,United States,1/3/09 8:47,1/8/09 10:38,40.65,-73.95
34,34,1/5/09 13:17,Product1,Mastercard,Stephanie,Netherlands,1/5/09 12:45,1/8/09 11:45,52.3333333,4.7833333
35,35,1/6/09 7:46,Product1,Amex,Kelly,United States,1/6/09 7:30,1/8/09 12:40,38.96861,-77.34139
36,36,1/5/09 20:00,Product2,Visa,James,Australia,12/10/08 19:53,1/8/09 17:58,-27.1666667,152.95
37,37,1/8/09 16:24,Product1,Visa,jennifer,United States,1/8/09 15:57,1/8/09 18:30,33.44833,-112.07333
38,38,1/9/09 6:39,Product1,Mastercard,Anneli,United States,1/9/09 5:09,1/9/09 7:11,29.76306,-95.36306
39,39,1/6/09 22:19,Product2,Amex,Ritz,United States,1/6/09 12:00,1/9/09 10:05,43.77222,-72.81333000000002
40,40,1/6/09 23:00,Product2,Amex,Sylvia,United States,1/6/09 12:00,1/9/09 10:05,43.77222,-72.81333000000002
41,41,1/7/09 7:44,Product1,Mastercard,Marie,United States,1/7/09 5:35,1/9/09 10:52,34.33806,-84.37666999999998
42,42,1/3/09 13:24,Product1,Visa,Mehmet Fatih,Denmark,1/3/09 12:47,1/9/09 11:14,56.0333333,12.616666699999998
43,43,1/7/09 15:12,Product2,Visa,Anabela,United States,1/5/09 19:55,1/9/09 16:03,41.54278,-87.68472
44,44,1/7/09 20:15,Product1,Amex,Nicole,United States,1/7/09 17:17,1/9/09 20:02,29.76306,-95.36306
45,45,1/3/09 10:11,Product2,Visa,Christiane ,United States,1/3/09 9:27,1/10/09 9:46,26.46111,-80.07306
46,46,1/9/09 15:58,Product1,Mastercard,Sari,United Kingdom,1/9/09 14:53,1/10/09 13:16,51.4,-1.3166667
47,47,1/3/09 13:11,Product1,Mastercard,simone,Denmark,10/31/08 0:31,1/10/09 13:24,55.6666667,12.5833333
48,48,1/10/09 12:57,Product1,Amex,Vanessa,United States,2/7/07 20:16,1/10/09 14:09,33.924170000000004,-84.37861
49,49,1/10/09 14:43,Product1,Diners,Anupam,Ireland,1/9/09 11:38,1/10/09 14:37,53.42472220000001,-6.1758333
50,50,1/10/09 12:05,Product1,Visa,Karina,United States,7/1/08 12:53,1/10/09 16:33,26.12194,-80.14361
51,51,1/6/09 1:20,Product1,Mastercard,Frank,Australia,1/2/09 17:51,1/10/09 18:27,-37.8166667,144.9666667
52,52,1/10/09 14:56,Product1,Visa,Angela,United States,1/8/09 3:06,1/10/09 19:41,41.72972,-93.60556
53,53,1/7/09 10:01,Product1,Visa,Darren,United States,1/7/09 9:04,1/10/09 20:02,35.72,-79.1775
54,54,1/1/09 1:26,Product1,Mastercard,Nikki,United States,1/1/09 0:58,1/10/09 21:31,40.91139,-73.78278
55,55,1/11/09 2:04,Product1,Visa,chris,Australia,1/11/09 0:33,1/11/09 2:11,-28.0,153.43333330000004
56,56,1/11/09 14:17,Product1,Visa,Stephanie,Belgium,1/11/09 13:39,1/11/09 13:39,50.8333333,4.3333333
57,57,1/10/09 21:38,Product1,Visa,Anushka,Canada,1/10/09 21:17,1/11/09 19:32,49.25,-122.5
58,58,1/7/09 6:18,Product1,Mastercard,June ,United States,2/23/06 11:56,1/11/09 19:35,41.46444,-81.50889000000002
59,59,1/4/09 8:39,Product2,Diners,Baybars,Canada,1/3/09 17:17,1/11/09 21:05,53.2,-105.75
60,60,1/5/09 0:31,Product1,Mastercard,Bonnie,Sweden,1/4/09 23:45,1/12/09 0:37,59.2833333,18.3
61,61,1/2/09 6:07,Product1,Visa,Cindy ,United Kingdom,12/30/08 10:21,1/12/09 2:24,51.6766667,-2.0180556
62,62,1/12/09 3:25,Product1,Mastercard,chrissy,United States,1/12/09 3:12,1/12/09 3:22,43.64917,-72.31083000000002
63,63,1/4/09 13:56,Product1,Mastercard,Tamar,United Kingdom,11/29/07 9:23,1/12/09 5:38,51.1166667,-0.8166667
64,64,1/7/09 0:12,Product2,Mastercard,Deirdre,Switzerland,12/1/08 6:25,1/12/09 6:55,46.5333333,6.6666667
65,65,1/12/09 5:18,Product1,Mastercard,Bernadett,United Kingdom,1/12/09 4:45,1/12/09 8:08,50.9,-1.4
66,66,1/8/09 15:16,Product1,Visa,Dottie,United States,1/8/09 14:56,1/12/09 9:29,39.53306,-77.315
67,67,1/11/09 11:33,Product1,Visa,Stefan,Norway,1/11/09 9:02,1/12/09 10:37,58.96666670000001,5.75
68,68,1/7/09 20:22,Product1,Visa,Gina,Canada,11/23/08 19:30,1/12/09 12:24,52.2666667,-113.8
69,69,1/2/09 22:00,Product1,Diners,Lynne,United States,1/2/09 21:04,1/12/09 13:18,35.14944000000001,-90.04889
70,70,1/5/09 13:52,Product1,Mastercard,Tammy,Switzerland,1/5/09 5:55,1/12/09 14:04,46.5166667,6.5
71,71,1/8/09 20:32,Product1,Visa,Kim,Canada,1/8/09 20:21,1/12/09 14:07,51.0833333,-114.0833333
72,72,1/8/09 13:34,Product1,Visa,Bruce,Canada,1/6/09 14:38,1/12/09 18:31,44.1666667,-77.3833333
73,73,1/11/09 13:08,Product1,Visa,Rosa Maria,United States,1/11/09 12:38,1/12/09 18:44,39.16194,-84.45694
74,74,1/12/09 19:04,Product1,Visa,Lydia,Canada,9/20/08 20:53,1/12/09 19:01,49.6833333,-124.9333333
75,75,1/12/09 13:41,Product1,Visa,Eric,Luxembourg,1/12/09 13:16,1/13/09 1:03,49.585555600000006,6.1230556
76,76,1/11/09 10:38,Product1,Mastercard,AnaPaula,United Kingdom,9/4/08 9:26,1/13/09 2:36,54.65,-5.7333333
